id,nombre,descripcion,categoria,imagen,kg,cincoKg,diezKg,veinticincoKg,treintaKg
1,Nueces Mariposa Chandler Extra light,,Frutos Secos,/assets/nuez-mariposa-extra.jpg,14900,13900,13900,,
2,Nueces Mariposa Ambar,,Frutos Secos,/assets/nuez-ambar.jpg,17250,16100,15525,,
3,Nuez Cuarto Extra Light,,Frutos Secos,/assets/nuez-cuarto.jpg,19435,18400,16100,,
4,Nuez Con Cascara,,Frutos Secos,/assets/nuez-con-cascara.jpg,7935,5520,,,
5,Almendras Guara Nacionales,,Frutos Secos,/assets/almendras-guara.jpg,18900,16500,16500,,
6,Almendras Non Pareil Chilenas,,Frutos Secos,/assets/Almendras-Chilenas.jpg,23000,21850,21275,,
7,Castañas De Caju W4,,Frutos Secos,/assets/castanas-caju.jpg,17000,15000,15000,,
8,Avellanas,,Frutos Secos,/assets/avellanas.jpg,31050,29900,27600,,
9,Pistacho,,Frutos Secos,/assets/Pistacho.jpg,42550,40250,36800,,
10,Pasas De Uva Jumbo,,Frutos Secos,/assets/pasas-jumbo.jpg,8280,7360,6670,,
11,Pasas De Uva Sultaninas,,Frutos Secos,/assets/pasas-sultaninas.jpg,4600,4140,3565,,
12,Pasas De Uva Rubias,,Frutos Secos,/assets/pasas-rubias.jpg,8280,7475,6785,,
13,Ciruela Sin Carozo,,Frutos Secos,/assets/ciruela-sin-carozo.jpg,8625,7820,7095,,
14,Arandanos,,Frutos Secos,/assets/arandanos.jpg,15525,14375,13685,,
15,Banana Chips Desecada,,Frutos Secos,/assets/banana-chips.jpg,13225,11730,,,
16,Datiles,,Frutos Secos,/assets/datiles.jpg,8970,8280,,,
17,Higos Negros,,Frutos Secos,/assets/higos-negros.jpg,12075,,,,
18,Pasta De Mani Odiis,,Frutos Secos,/assets/pasta-mani.jpg,2875,,,,
19,Mix Patagonia,"Arandanos, almendras, caju, nuez",Mixes,/assets/Mix Patagonia.jpg,18975,18400,17480,,
20,Mix Frutas Sin Mani,"Almendra, nuez, pasas, castaña",Mixes,/assets/Mix Frutas Sin Mani.jpg,14950,13800,12650,,
21,Mix Sin Pasas,"Nuez, mani, almendra, castaña",Mixes,/assets/mix-sin-pasas.jpg,14950,13800,12650,,
22,Mix Premium,"Nuez, castañas, almendras, avellanas",Mixes,/assets/Mix Premium.jpg,21275,20700,20125,,
23,Mix Banana,"Banana, nuez, almendras, pasas, mani",Mixes,/assets/mix-banana.jpg,7820,7475,7130,,
24,Mix Tropical,"Banana, pasas, papaya, ananá cubos, nuez",Mixes,/assets/mix-tropical.jpg,14835,14375,,,
25,Mix Economico,"Pasas, mani, nuez, almendras",Mixes,/assets/mix-economico.jpg,7130,6900,6670,,
26,Mix Cervecero,"Maiz frito, mani salado, girasol, semilla zapallo, mani chino",Mixes,/assets/mix-cervecero.jpg,7130,6555,6325,,
27,Almohaditas Frutilla,,Cereales,/assets/almohaditas.jpg,6900,,15525,,
28,Almohaditas Avellanas,,Cereales,/assets/almohaditas.jpg,6900,,15525,,
29,Almohaditas Limon,,Cereales,/assets/almohaditas.jpg,6900,,15525,,
30,Almohaditas Chocolate,,Cereales,/assets/almohaditas.jpg,7475,,17135,,
31,Quinoa Pop Inflada,,Cereales,/assets/quinoa-pop.jpg,5750,,14835,,
32,Arito Frutal,,Cereales,/assets/arito-frutal.jpg,5750,12937,,,
33,Bolita Chocolate,,Cereales,/assets/bolita-chocolate.jpg,6325,,15985,,
34,Fibra De Salvado,,Cereales,/assets/fibra-salvado.jpg,4025,9430,,,
35,Copos Con Azucar,,Cereales,/assets/copos.jpg,4600,,12075,,
36,Copos Sin Azucar,,Cereales,/assets/copos.jpg,4025,,9568,,
37,Granola,,Cereales,/assets/granola.jpg,4370,3910,,,33350
38,Sal De Himalaya,,Cereales,/assets/sal-himalaya.jpg,2875,2415,,,
39,Sal Marina Fina,Por 500gr,Cereales,/assets/sal-marina.jpg,1100,,,,
40,Bicarbonato,,Cereales,/assets/bicarbonato.jpg,3795,3565,,,
41,Gelatina Sin Sabor,,Cereales,/assets/gelatina.jpg,23575,,,,
42,Tomates Secos,,Cereales,/assets/tomates-secos.jpg,17135,,,,
43,Chips Chocolate Negro y Blanco,,Reposteria,/assets/chips-chocolate.jpg,11040,10120,,,
44,Cacao Amargo Puro,,Reposteria,/assets/cacao-amargo.jpg,9890,8740,,,
45,Mani Con Chocolate,,Reposteria,/assets/mani-chocolate.jpg,12650,11730,,,
46,Almendras Con Chocolate,,Reposteria,/assets/almendras-chocolate.jpg,28750,26450,,,
47,Pasas Con Chocolate,,Reposteria,/assets/pasas-chocolate.jpg,18860,17250,,,
48,Rocklert Aguila,,Reposteria,/assets/rocklert.jpg,15180,13800,,,
49,Coco Rallado,,Reposteria,/assets/coco-rallado.jpg,8970,8280,,,
50,Polvo Para Hornear,,Reposteria,/assets/polvo-hornear.jpg,7360,6900,,,
51,Tabletas Aguila x5KG,,Reposteria,/assets/tabletas-aguila.jpg,0,125350,,,
52,Mani Salado Pelado,,Snacks,/assets/mani-salado.jpg,2800,2500,2500,2500,
53,Mani Tostado Sin Sal,,Snacks,/assets/mani-salado.jpg,2800,2500,2500,2500,
56,Mani Saborizado / Mani Chino,,Snacks,/assets/mani-chino.jpg,4025,3450,2990,,
57,Mani De Vaina,,Snacks,/assets/mani-vaina.jpg,4025,3680,3220,,
58,Maiz Frito Salado,,Snacks,/assets/maiz-frito.jpg,11385,10350,,,
59,Garrapiñadas,,Snacks,/assets/garrapinadas.jpg,4025,3680,,,
60,Palito Salado,,Snacks,/assets/palito-salado.jpg,3680,3450,3220,2875,
61,Tutuca,,Snacks,/assets/tutuca.jpg,4140,3450,,,
62,Lenteja,,Legumbres,/assets/lenteja.jpg,2875,12650,,,
63,Lentejon,,Legumbres,/assets/lentejon.jpg,3335,13800,,,66700
64,Arroz Yamani,,Legumbres,/assets/arroz-yamani.jpg,2530,9890,,,48990
65,Arroz Integral,,Legumbres,/assets/arroz-integral.jpg,2300,9315,,,42435
66,Avena Instantanea,,Legumbres,/assets/avena.jpg,2300,9430,,,44850
67,Garbanzo,,Legumbres,/assets/garbanzo.jpg,2530,10350,,,42320
68,Poroto Alubia,,Legumbres,/assets/poroto-alubia.jpg,3910,17480,,,
69,Poroto Soja,,Legumbres,/assets/poroto-soja.jpg,1495,,,,
70,Poroto Colorado,,Legumbres,/assets/poroto-colorado.jpg,2990,12880,,,
71,Poroto Aduki,,Legumbres,/assets/poroto-aduki.jpg,3335,14835,,,
72,Poroto Negro,,Legumbres,/assets/poroto-negro.jpg,2875,11270,,,
73,Poroto Pallares Grande,,Legumbres,/assets/poroto-pallares.jpg,6440,31050,,,
74,Pisingallo,,Legumbres,/assets/pisingallo.jpg,1610,6670,,,34500
75,Oregano,,Condimentos,/assets/oregano.jpg,6900,6325,,,
76,Provenzal,,Condimentos,/assets/provenzal.jpg,4370,4025,,,
77,Adobo Para Pizza,,Condimentos,/assets/adobo-pizza.jpg,4025,3680,,,
78,Pimenton,,Condimentos,/assets/pimenton.jpg,4025,3680,,,
79,Pimenton Ahumado,,Condimentos,/assets/pimenton-ahumado.jpg,8970,8280,,,
